President,Date,Approve,X.1
Reagan,81 Jan 30-Feb 2,51,Jan 1981
Reagan,81 Feb 13-16,55,Feb 1981
Reagan,81 Mar 13-16,60,Mar 1981
Reagan,81 Apr 3-6,67,Apr 1981
Reagan,81 Apr 10-13,67,Apr 1981
Reagan,81 May 8-11,68,May 1981
Reagan,81 Jun 5-8,59,Jun 1981
Reagan,81 Jun 19-22,59,Jun 1981
Reagan,81 Jun 26-29,58,Jun 1981
Reagan,81 Jul 17-20,60,Jul 1981
Reagan,81 Jul 24-27,56,Jul 1981
Reagan,81 Jul 31-Aug 3,60,Jul 1981
Reagan,81 Aug 14-17,60,Aug 1981
Reagan,81 Sept 18-21,52,Sep 1981
Reagan,81 Oct 2-5,56,Oct 1981
Reagan,81 Oct 30-Nov 2,53,Oct 1981
Reagan,81 Nov 13-16,49,Nov 1981
Reagan,81 Nov 20-23,54,Nov 1981
Reagan,81 Dec 11-14,49,Dec 1981
Reagan,82 Jan 8-11,49,Jan 1982
Reagan,82 Jan 22-25,47,Jan 1982
Reagan,82 Feb 5-8,47,Feb 1982
Reagan,82 Mar 12-15,46,Mar 1982
Reagan,82 Apr 2-5,45,Apr 1982
Reagan,82 Apr 23-26,43,Apr 1982
Reagan,82 Apr 30-May 3,44,Apr 1982
Reagan,82 May 14-17,45,May 1982
Reagan,82 Jun 11-14,45,Jun 1982
Reagan,82 Jun 25-28,44,Jun 1982
Reagan,82 Jul 23-26,42,Jul 1982
Reagan,82 Jul 30-Aug 2,41,Jul 1982
Reagan,82 Aug 13-16,41,Aug 1982
Reagan,82 Aug 27-30,42,Aug 1982
Reagan,82 Sep 17-20,42,Sep 1982
Reagan,82 Oct 15-18,42,Oct 1982
Reagan,82 Nov 5-8,43,Nov 1982
Reagan,82 Nov 19-22,43,Nov 1982
Reagan,82 Dec 10-13,41,Dec 1982
Reagan,83 Jan 14-17,37,Jan 1983
Reagan,83 Jan 21-24,37,Jan 1983
Reagan,83 Jan 28-31,35,Jan 1983
Reagan,83 Feb 25-28,40,Feb 1983
Reagan,83 Mar 11-14,41,Mar 1983
Reagan,83 Apr 15-18,41,Apr 1983
Reagan,83 Apr 29-May 2,43,Apr 1983
Reagan,83 May 13-16,43,May 1983
Reagan,83 May 20-23,46,May 1983
Reagan,83 Jun 10-13,43,Jun 1983
Reagan,83 Jun 24-27,47,Jun 1983
Reagan,83 Jul 22-25,42,Jul 1983
Reagan,83 Jul 29-Aug 1,44,Jul 1983
Reagan,83 Aug 5-8,44,Aug 1983
Reagan,83 Aug 12-15,43,Aug 1983
Reagan,83 Aug 19-22,43,Aug 1983
Reagan,83 Sep 9-12,47,Sep 1983
Reagan,83 Sep 16-19,47,Sep 1983
Reagan,83 Oct 7-10,45,Oct 1983
Reagan,83 Oct 21-24,49,Oct 1983
Reagan,83 Nov 18-21,53,Nov 1983
Reagan,83 Dec 9-12,54,Dec 1983
Reagan,84 Jan 13-16,52,Jan 1984
Reagan,84 Jan 27-30,55,Jan 1984
Reagan,84 Feb 10-13,55,Feb 1984
Reagan,84 Mar 16-19,54,Mar 1984
Reagan,84 Apr 6-9,54,Apr 1984
Reagan,84 May 3-5,52,May 1984
Reagan,84 May 18-21,54,May 1984
Reagan,84 Jun 6-8,55,Jun 1984
Reagan,84 Jun 22-25,54,Jun 1984
Reagan,84 Jun 29-Jul 2,53,Jun 1984
Reagan,84 Jul 6-9,54,Jul 1984
Reagan,84 Jul 13-16,55,Jul 1984
Reagan,84 Jul 27-30,52,Jul 1984
Reagan,84 Aug 10-13,54,Aug 1984
Reagan,84 Sep 7-10,57,Sep 1984
Reagan,84 Sep 21-24,57,Sep 1984
Reagan,84 Sep 28-Oct 1,54,Sep 1984
Reagan,84 Oct 26-29,58,Oct 1984
Reagan,84 Nov 9-12,61,Nov 1984
Reagan,84 Nov 30-Dec 3,62,Nov 1984
Reagan,84 Dec 7-10,59,Dec 1984
Reagan,85 Jan 11-14,62,Jan 1985
Reagan,85 Jan 25-28,64,Jan 1985
Reagan,85 Feb 15-18,60,Feb 1985
Reagan,85 Mar 8-11,56,Mar 1985
Reagan,85 Apr 12-15,52,Apr 1985
Reagan,85 May 17-20,55,May 1985
Reagan,85 Jun 7-10,58,Jun 1985
Reagan,85 Jul 12-15,63,Jul 1985
Reagan,85 Aug 13-15,65,Aug 1985
Reagan,85 Aug 16-19,57,Aug 1985
Reagan,85 Sep 13-16,60,Sep 1985
Reagan,85 Oct 11-14,63,Oct 1985
Reagan,85 Nov 1-4,62,Nov 1985
Reagan,85 Nov 11-18,65,Nov 1985
Reagan,85 Dec 6-9,63,Dec 1985
Reagan,86 Jan 10-13,64,Jan 1986
Reagan,86 Mar 4-10,63,Mar 1986
Reagan,86 Apr 11-14,62,Apr 1986
Reagan,86 May 16-19,68,May 1986
Reagan,86 Jun 6-9,61,Jun 1986
Reagan,86 Jun 9-16,64,Jun 1986
Reagan,86 Jul 11-14,63,Jul 1986
Reagan,86 Aug 8-11,61,Aug 1986
Reagan,86 Sep 12-15,61,Sep 1986
Reagan,86 Sep 13-17,63,Sep 1986
Reagan,86 Oct 24-27,63,Oct 1986
Reagan,86 Dec 4-5,47,Dec 1986
Reagan,86 Dec 5-8,48,Dec 1986
Reagan,87 Jan 16-19,48,Jan 1987
Reagan,87 Mar 6-9,43,Mar 1987
Reagan,87 Mar 14-18,47,Mar 1987
Reagan,87 Apr 10-13,48,Apr 1987
Reagan,87 Jun 5-8,47,Jun 1987
Reagan,87 Jun 8-14,53,Jun 1987
Reagan,87 Jul 10-13,49,Jul 1987
Reagan,87 Aug 7-10,45,Aug 1987
Reagan,87 Aug 24-Sep 2,49,Aug 1987
Reagan,87 Oct 23-26,51,Oct 1987
Reagan,87 Dec 4-7,49,Dec 1987
Reagan,88 Jan 22-25,49,Jan 1988
Reagan,88 Mar 4-6,50,Mar 1988
Reagan,88 Mar 8-12,51,Mar 1988
Reagan,88 Apr 8-11,50,Apr 1988
Reagan,88 May 2-8,50,May 1988
Reagan,88 May 13-22,48,May 1988
Reagan,88 Jun 10-13,51,Jun 1988
Reagan,88 Jun 24-27,48,Jun 1988
Reagan,88 Jul 1-7,51,Jul 1988
Reagan,88 Jul 15-18,54,Jul 1988
Reagan,88 Aug 19-22,53,Aug 1988
Reagan,88 Sep 25-Oct 1,54,Sep 1988
Reagan,88 Oct 21-24,51,Oct 1988
Reagan,88 Nov 11-14,57,Nov 1988
Reagan,88 Dec 27-29,63,Dec 1988